Title,Valence,Genre,Energy
Bruno Mars - Locked Out Of Heaven (Official Music Video),0.867,dance pop,0.698
The Neighbourhood - Sweater Weather (Official Video),0.398,modern alternative rock,0.807
Little Mix - Black Magic (Official Video),0.849,girl group,0.875
Glowworm - Periphescence,0.0356,ambient post-rock,0.313
Outkast - Hey Ya! (Official HD Video),0.965,atl hip hop,0.974
Dire Straits - Walk Of Life (Official Music Video),0.804,album rock,0.936
ZAYN - PILLOWTALK,0.438,pop,0.7
ConeCrewDiretoria - Chama os Mulekes,0.511,brazilian hip hop,0.814
Ariana Grande - Into You (Official Video),0.37,pop,0.734
Nils Frahm - Do,0.222,compositional ambient,0.0142
Vanessa Carlton - A Thousand Miles,0.268,lilith,0.825
Chris Brown - With You (Official HD Video),0.655,r&b,0.693
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),0.513,australian pop,0.588
The Cranberries - Zombie (Official Music Video),0.312,irish rock,0.649
Arctic Monkeys - Do I Wanna Know_ (Official Video),0.405,garage rock,0.532
Imagine Dragons - Bad Liar,0.0827,modern rock,0.637
Kid Cudi - Day 'N' Nite,0.804,hip hop,0.441
Shania Twain - Any Man Of Mine (Official Music Video),0.784,canadian country,0.725
Eminem - Mockingbird [Official Music Video],0.254,detroit hip hop,0.678
Joy Wants Eternity - From Embrace To Embrace,0.0455,american post-rock,0.644
Meghan Trainor - All About That Bass (Official Video),0.961,hip pop,0.887
Alan Jackson - Remember When (Official HD Video),0.267,country,0.314
John Newman - Love Me Again,0.213,dance pop,0.894
Drake - Virginia Beach,0.2,canadian hip hop,0.514
Carrie Underwood - Before He Cheats,0.29,classic oklahoma country,0.749
Guns N' Roses - Paradise City (Official Music Video),0.395,glam metal,0.98
Motorama - Alps,0.22,deep gothic post-punk,0.882
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),0.72,pop,0.812
Nickelback - Rockstar [OFFICIAL VIDEO],0.693,alternative metal,0.91
Drake - Hotline Bling,0.552,canadian hip hop,0.628
Tracy Chapman - Fast Car,0.194,folk,0.292
Eminem - The Real Slim Shady (Official Video - Clean Version),0.76,detroit hip hop,0.661
50 Cent - In Da Club (Official Music Video),0.805,east coast hip hop,0.72
G-Eazy - Lady Killers (feat. Hoodie Allen),0.497,indie pop rap,0.567
Nils Frahm - Si,0.148,compositional ambient,0.00268
Tigers Jaw - I Was Never Your Boyfriend,0.588,alternative emo,0.942
Imagine Dragons - Whatever It Takes (Official Music Video),0.556,modern rock,0.655
Aya Nakamura - Djadja (Clip officiel),0.541,basshall,0.797
BAD BUNNY x DRAKE - MÍA (Video Oficial),0.156,reggaeton,0.538
Death Grips - Lost Boys,0.374,escape room,0.949
Billy Idol - Dancing With Myself,0.755,album rock,0.886
Michael Jackson - Billie Jean (Official Video),0.884,r&b,0.457
Eminem - Rap God (Explicit),0.625,detroit hip hop,0.843
Motorama - Ghost,0.866,deep gothic post-punk,0.919
Mariah Carey - We Belong Together (Official Music Video),0.762,dance pop,0.462
James Blunt - You're Beautiful,0.451,neo mellow,0.521
Bury Tomorrow - Lionheart,0.261,melodic metalcore,0.81
Keane - Somewhere Only We Know (Official Music Video),0.368,neo mellow,0.655
Ramshackle Glory - Your Heart Is a Muscle the Size of Your Fist (1),0.804,acoustic punk,0.718
Brett Young - In Case You Didn't Know (Official Music Video),0.434,contemporary country,0.536
System Of A Down - B.Y.O.B. (Official HD Video),0.711,alternative metal,0.981
The Weeknd - The Hills,0.137,canadian contemporary r&b,0.564
One Direction - Story of My Life,0.286,boy band,0.663
One Direction - What Makes You Beautiful (Official Video),0.888,boy band,0.787
Shane Filan - Beautiful In White (Official Video),0.265,irish pop,0.383
Taylor Swift - Shake It Off,0.943,pop,0.785
Sonata Arctica - I Have a Right,0.46,finnish power metal,0.862
Tribo da Periferia - Imprevisível (Official Music Video),0.329,rap df,0.408
Kane Brown - Heaven,0.521,black americana,0.556
Roxette - It Must Have Been Love (Official Music Video),0.722,europop,0.652
Luke Combs - Beautiful Crazy,0.382,contemporary country,0.402
The Calling - Wherever You Will Go (First Video- in Tijuana),0.371,neo mellow,0.719
Zach Bryan - I Remember Everything,0.155,classic oklahoma country,0.453
Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],0.454,pop,0.605
Snowing - Pump Fake,0.699,midwest emo,0.937
Future Islands - Before the Bridge,0.588,alternative dance,0.726
"John Denver - Take Me Home, Country Roads (Official Audio)",0.625,classic country pop,0.395
Post Malone - White Iverson,0.309,dfw rap,0.562
Coldplay - Paradise (Official Video),0.212,permanent wave,0.585
Antimatter - Leaving Eden,0.1,dark rock,0.487
Outkast - Hey Ya!,0.965,atl hip hop,0.974
Guns N' Roses - Patience,0.333,glam metal,0.297
G-Eazy - Interlude,0.291,indie pop rap,0.348
Tom Odell - Another Love (Official Video),0.131,chill pop,0.537
Car Seat Headrest - My Boy (Twin Fantasy),0.379,furry,0.308
Billy Currington - People Are Crazy (Official Music Video),0.36,contemporary country,0.699
Scorpions - Wind Of Change (Official Music Video),0.246,album rock,0.524
Ariana Grande - Focus (Official Video),0.8,pop,0.876
"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",0.667,dance pop,0.716
Demi Lovato - Heart Attack (Official Video),0.502,pop,0.785
Taylor Swift - Mine,0.49,pop,0.783
Vanilla Ice - Ice Ice Baby (Official Music Video),0.583,hip house,0.792
Katy Perry - Hot N Cold (Official Music Video),0.861,pop,0.841
The Notorious B.I.G. - Juicy (Official Video) [4K],0.782,east coast hip hop,0.818
Bon Jovi - Always (Official Music Video),0.327,glam metal,0.659
Flo Rida - Good Feeling [Official Video],0.684,dance pop,0.89
Enslaved - Thoughts Like Hammers,0.203,black metal,0.841
LP - Lost On You (Live),0.669,la pop,0.725
Foo Fighters - The Pretender,0.365,alternative metal,0.959
Rae Sremmurd - No Type (Official Video),0.239,melodic rap,0.486
Blackbird Blackbird - Hawaii,0.842,chillwave,0.741
"Dan  Shay, Justin Bieber - 10,000 Hours (Official Music Video)",0.43,contemporary country,0.63
Yeasayer - 2080,0.518,alternative dance,0.803
Lady Gaga - Hold My Hand (From Top Gun_ Maverick) [Official Music Video],0.222,art pop,0.617
Morgan Wallen - Last Night,0.478,contemporary country,0.675
Bonnie Tyler - Total Eclipse of the Heart (Turn Around) (Official Video),0.19,europop,0.723
Harry Styles - As It Was (Official Video),0.662,pop,0.731
Justin Bieber - Sorry (PURPOSE _ The Movement),0.41,canadian pop,0.76
Car Seat Headrest - stop smoking,0.308,furry,0.223
Blackbird Blackbird - Pure,0.357,chillwave,0.667
Goo Goo Dolls - Iris,0.497,neo mellow,0.715
"Post Malone, Swae Lee - Sunflower (Spider-Man_ Into the Spider-Verse)",0.925,dfw rap,0.522
Death Grips - Full Moon (Death Classic),0.59,escape room,0.965
